iter	Passed	Remaining
1381	1135	2973
1382	1136	2972
1383	1137	2970
1384	1137	2968
1385	1137	2967
1386	1138	2966
1387	1139	2964
1388	1139	2962
1389	1139	2960
1390	1140	2957
1391	1140	2957
1392	1141	2955
1393	1141	2953
1394	1142	2952
1395	1143	2951
1396	1143	2949
1397	1144	2948
1398	1144	2947
1399	1145	2944
1400	1145	2942
1401	1145	2940
1402	1146	2939
1403	1146	2937
1404	1147	2935
1405	1147	2933
1406	1148	2932
1407	1149	2931
1408	1149	2930
1409	1150	2928
1410	1150	2926
1411	1151	2924
1412	1151	2922
1413	1151	2920
1414	1151	2918
1415	1152	2918
1416	1153	2916
1417	1153	2914
1418	1154	2912
1419	1154	2911
1420	1155	2910
1421	1156	2910
1422	1157	2909
1423	1158	2909
1424	1160	2910
1425	1161	2910
1426	1161	2908
1427	1162	2907
1428	1163	2908
1429	1164	2906
1430	1164	2905
1431	1165	2904
1432	1167	2904
1433	1167	2903
1434	1168	2902
1435	1168	2900
1436	1172	2907
1437	1176	2913
1438	1177	2913
1439	1178	2913
1440	1179	2913
1441	1181	2914
1442	1182	2915
1443	1183	2913
1444	1184	2914
1445	1185	2913
1446	1186	2912
1447	1187	2913
1448	1189	2914
1449	1190	2914
1450	1191	2914
1451	1192	2914
1452	1194	2915
1453	1195	2914
1454	1195	2913
1455	1196	2912
1456	1197	2911
1457	1198	2911
1458	1198	2908
1459	1198	2906
1460	1199	2904
1461	1200	2904
1462	1200	2902
1463	1200	2900
1464	1202	2900
1465	1204	2903
1466	1207	2908
1467	1209	2910
1468	1211	2911
1469	1213	2914
1470	1216	2919
1471	1218	2919
1472	1219	2920
1473	1221	2921
1474	1222	2921
1475	1223	2921
1476	1224	2921
1477	1226	2921
1478	1227	2921
1479	1228	2921
1480	1229	2920
1481	1230	2920
1482	1231	2921
1483	1232	2921
1484	1233	2919
1485	1233	2917
1486	1233	2914
1487	1234	2912
1488	1234	2911
1489	1234	2909
1490	1235	2906
1491	1235	2904
1492	1235	2903
1493	1236	2902
1494	1237	2900
1495	1237	2898
1496	1238	2897
1497	1239	2897
1498	1240	2896
1499	1240	2895
1500	1241	2894
1501	1241	2892
1502	1242	2890
1503	1242	2888
1504	1243	2886
1505	1243	2884
1506	1243	2883
1507	1244	2881
1508	1244	2879
1509	1245	2879
1510	1246	2878
1511	1246	2876
1512	1247	2874
1513	1247	2873
1514	1248	2872
1515	1249	2870
1516	1249	2868
1517	1249	2866
1518	1250	2864
1519	1250	2862
1520	1250	2860
1521	1250	2858
1522	1252	2859
1523	1253	2857
1524	1253	2856
1525	1253	2854
1526	1254	2852
1527	1254	2851
1528	1254	2848
1529	1255	2847
1530	1255	2845
1531	1256	2844
1532	1256	2842
1533	1257	2840
1534	1257	2839
1535	1258	2838
1536	1259	2836
1537	1259	2835
1538	1259	2833
1539	1260	2831
1540	1261	2830
1541	1261	2829
1542	1262	2827
1543	1262	2826
1544	1262	2824
1545	1263	2823
1546	1264	2821
1547	1264	2820
1548	1264	2818
1549	1265	2816
1550	1265	2814
1551	1265	2812
1552	1266	2810
1553	1266	2808
1554	1267	2806
1555	1267	2805
1556	1268	2804
1557	1268	2802
1558	1268	2800
1559	1269	2798
1560	1269	2797
1561	1270	2796
1562	1270	2794
1563	1271	2792
1564	1271	2791
1565	1271	2789
1566	1272	2788
1567	1273	2786
1568	1273	2784
1569	1274	2783
1570	1274	2782
1571	1275	2780
1572	1275	2778
1573	1275	2776
1574	1276	2775
1575	1277	2774
1576	1277	2773
1577	1278	2771
1578	1278	2769
1579	1278	2768
1580	1279	2766
1581	1279	2764
1582	1279	2762
1583	1280	2761
1584	1280	2759
1585	1281	2757
1586	1281	2756
1587	1282	2754
1588	1283	2754
1589	1283	2753
1590	1284	2752
1591	1285	2751
1592	1285	2749
1593	1285	2747
1594	1286	2745
1595	1286	2744
1596	1286	2742
1597	1287	2740
1598	1287	2738
1599	1287	2736
1600	1288	2735
1601	1289	2734
1602	1289	2732
1603	1290	2731
1604	1290	2730
1605	1291	2728
1606	1291	2726
1607	1291	2725
1608	1292	2723
1609	1292	2721
1610	1293	2720
1611	1293	2718
1612	1294	2717
1613	1294	2715
1614	1294	2714
1615	1295	2712
1616	1295	2710
1617	1296	2709
1618	1296	2707
1619	1296	2705
1620	1297	2705
1621	1297	2703
1622	1298	2701
1623	1298	2699
1624	1299	2698
1625	1299	2697
1626	1300	2696
1627	1301	2694
1628	1302	2694
1629	1302	2692
1630	1302	2691
1631	1303	2689
1632	1303	2688
1633	1304	2686
1634	1304	2684
1635	1305	2683
1636	1306	2683
1637	1306	2681
1638	1306	2679
1639	1307	2678
1640	1307	2676
1641	1307	2674
1642	1308	2672
1643	1308	2671
1644	1308	2669
1645	1308	2667
1646	1309	2665
1647	1309	2663
1648	1310	2662
1649	1310	2661
1650	1311	2660
1651	1312	2659
1652	1312	2658
1653	1313	2656
1654	1313	2655
1655	1314	2654
1656	1315	2653
1657	1315	2651
1658	1315	2649
1659	1316	2648
1660	1316	2647
1661	1317	2645
1662	1317	2643
1663	1317	2641
1664	1318	2640
1665	1318	2638
1666	1318	2636
1667	1318	2634
1668	1319	2632
1669	1319	2631
1670	1319	2629
1671	1320	2627
1672	1320	2626
1673	1321	2625
1674	1322	2624
1675	1322	2622
1676	1322	2620
1677	1323	2619
1678	1323	2617
1679	1324	2616
1680	1324	2615
1681	1324	2613
1682	1325	2611
1683	1325	2610
1684	1325	2608
1685	1326	2606
1686	1326	2605
1687	1326	2603
1688	1327	2602
1689	1327	2600
1690	1328	2600
1691	1329	2599
1692	1330	2599
1693	1330	2597
1694	1331	2595
1695	1331	2593
1696	1331	2591
1697	1332	2590
1698	1332	2589
1699	1333	2588
1700	1333	2586
1701	1334	2585
1702	1334	2583
1703	1334	2582
1704	1335	2580
1705	1335	2579
1706	1336	2578
1707	1337	2577
1708	1337	2575
1709	1337	2574
1710	1338	2572
1711	1338	2571
1712	1338	2569
1713	1339	2567
1714	1339	2565
1715	1339	2564
1716	1340	2562
1717	1340	2561
1718	1340	2559
1719	1341	2557
1720	1341	2556
